ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
148;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Präsentationserstellung;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
149;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Prozessautomatisierung;Softwareentwicklung ;";"Microsoft Copilot;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
150;IT-Consulting;Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;Bugfixing;";"Anthrophic Claude;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
151;IT-Consulting;Mittleres Unternehmen (51-250 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Entscheidungsautomatisierung;Bildgenerierung;Softwareentwicklung ;Prozessautomatisierung;Testfallerstellung;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich entwickle oder trainiere eigene Modelle.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kosten;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
152;IT-Consulting;Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Anthrophic Claude;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
153;IT-Consulting;Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Texterstellung (Dokumentation, Berichte, Anforderungen);";"Anthrophic Claude;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
154;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Softwareentwicklung ;";"OpenAI ChatGPT;Google Gemini;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
155;Support & Service;Mittleres Unternehmen (51-250 Mitarbeiter);Fertigung & Industrie;Selten;"Recherche und Wissensvermittlung;Präsentationserstellung;";"OpenAI ChatGPT;Microsoft Copilot;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
156;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Gesundheitswesen & Pharma;Wöchentlich;"Recherche und Wissensvermittlung;Präsentationserstellung;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
157;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Google Gemini;Anthrophic Claude;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Kosten;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
158;Operations (DevOps, Platform Engineering, IT-Admin);Mittleres Unternehmen (51-250 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Wöchentlich;"Texterstellung (Dokumentation, Berichte, Anforderungen);";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Unternehmensweiter Rollout abgeschlossen;Unklare Governance und regulatorische Unsicherheit;Mehrere große Modelle in Kombination
159;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Mittleres Unternehmen (51-250 Mitarbeiter);Fertigung & Industrie;Täglich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;Texterstellung (Dokumentation, Berichte, Anforderungen);";"Google Gemini;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
160;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Öffentlicher Sektor;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;";"Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Fehlerrate der Modelle;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Spezialisierte, kleinere Modelle für spezifische Aufgaben
161;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Prozessautomatisierung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Akzeptanz im Team/Unternehmen;Kosten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Mangel an qualifiziertem Personal und Know-how;Kann ich nicht einschätzen
162;IT-Consulting;Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Bugfixing;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
163;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Prozessautomatisierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;Google Gemini;Andere cloudbasierte Modelle/Tools;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
164;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Mittleres Unternehmen (51-250 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Keine Änderung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Datensicherheit;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
165;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Testfallerstellung;";"Anthrophic Claude;Microsoft Copilot;OpenAI ChatGPT;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Benutzbarkeit (UI/UX);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
166;IT-Consulting;Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Prozessautomatisierung;Entscheidungsautomatisierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Anthrophic Claude;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Erzeugung von präziseren und treffsicheren Antworten;Fehlerrate der Modelle;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Kann ich nicht einschätzen
167;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Bisher weder noch erkennbar;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
168;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Gesundheitswesen & Pharma;Täglich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
169;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Öffentlicher Sektor;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Testfallerstellung;";"OpenAI ChatGPT;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Leichte Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Fehlerrate der Modelle;Datensicherheit;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
170;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Gesundheitswesen & Pharma;Täglich;"Softwareentwicklung ;";"Anthrophic Claude;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
171;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Gesundheitswesen & Pharma;Täglich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;";"Andere cloudbasierte Modelle/Tools;OpenAI ChatGPT;Microsoft Copilot;";Ich entwickle oder trainiere eigene Modelle.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Ein zentrales, universelles Modell für alle Anwendungsfälle
172;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Fertigung & Industrie;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
173;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Gesundheitswesen & Pharma;Selten;"Recherche und Wissensvermittlung;Bugfixing;";"OpenAI ChatGPT;Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Mehrere große Modelle in Kombination
174;Design & Analyse (UX/UI, Business Analyst);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Google Gemini;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
175;Design & Analyse (UX/UI, Business Analyst);Großes Unternehmen (251-5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Wöchentlich;"Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kosten;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Fehlerrate der Modelle;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
176;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Keine Änderung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Unternehmensweiter Rollout abgeschlossen;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
